# f  U_G  U_C    a    b   b2
5.04 4.0  4.000 4.00 156  0.1984127  
55   4.0  3.000 1.50 18.0 0.01818182 
105  4.0  2.200 1.20 4.00 0.00952381
155  4.0  1.800 1.20 3.20 0.00645161
205  4.0  1.200 0.80 2.00 0.00487805
305  4.0  1.000 0.40 1.20 0.00327869
355  4.0  0.800 0.40 1.00 0.0028169  
405  4.0  0.700 0.40 0.80 0.00246914
455  4.0  0.600 0.30 0.70 0.0021978
505  4.0  0.500 0.20 0.60 0.0019802
1000 4.0  0.300 0.20 0.40 0.001
1500 4.0  0.200 0.10 0.15 0.00066667
2000 4.0  0.180 0.08 0.20 0.0005
2500 4.0  0.110 0.06 0.15 0.0004
3000 4.0  0.105 0.05 0.12 0.00033333
4000 4.0  0.090 0.04 0.10 0.00025
5000 4.0  0.060 0.04 0.08 0.0002   
